date,open,high,low,close,volume
1980-03-17,0.1927,0.1958,0.1927,0.1927,10924800
1980-03-18,0.1927,0.1943,0.1912,0.1912,17068800
1980-03-19,0.1958,0.1989,0.1958,0.1958,18508800
1980-03-20,0.1958,0.1981,0.1950,0.1950,11174400
1980-03-21,0.1912,0.1912,0.1881,0.1881,12172800
1980-03-24,0.1873,0.1873,0.1843,0.1843,8966400
1980-03-25,0.1850,0.1881,0.1850,0.1850,11347200
1980-03-26,0.1850,0.1866,0.1835,0.1835,16262400
1980-03-27,0.1804,0.1804,0.1773,0.1773,26918400
1980-03-28,0.1843,0.1873,0.1843,0.1843,20102400
1980-03-31,0.1904,0.1935,0.1904,0.1904,9004800
1980-04-01,0.1912,0.1943,0.1912,0.1912,8179200
1980-04-02,0.1927,0.1958,0.1927,0.1927,12556800
1980-04-03,0.1920,0.1920,0.1889,0.1889,6988800
1980-04-07,0.1873,0.1873,0.1843,0.1843,13478400
1980-04-08,0.1850,0.1881,0.1850,0.1850,29184000
1980-04-09,0.1843,0.1843,0.1812,0.1812,11558400
1980-04-10,0.1812,0.1835,0.1804,0.1804,14784000
1980-04-11,0.1804,0.1835,0.1804,0.1804,9523200
1980-04-14,0.1819,0.1850,0.1819,0.1819,8025600
1980-04-15,0.1819,0.1827,0.1796,0.1796,10598400
1980-04-16,0.1758,0.1758,0.1727,0.1727,10752000
1980-04-17,0.1727,0.1727,0.1696,0.1696,17702400
1980-04-18,0.1719,0.1750,0.1719,0.1719,18739200
1980-04-21,0.1719,0.1735,0.1704,0.1704,9043200
1980-04-22,0.1781,0.1812,0.1781,0.1781,20428800
1980-04-23,0.1889,0.1920,0.1889,0.1889,14822400
1980-04-24,0.1896,0.1927,0.1896,0.1896,8832000
1980-04-25,0.1896,0.1896,0.1866,0.1866,7104000
1980-04-28,0.1866,0.1881,0.1850,0.1850,6931200
1980-04-29,0.1866,0.1896,0.1866,0.1866,6297600
1980-04-30,0.1889,0.1920,0.1889,0.1889,7065600
1980-05-01,0.1896,0.1927,0.1896,0.1896,7008000
1980-05-02,0.1927,0.1958,0.1927,0.1927,5510400
1980-05-05,0.1950,0.1981,0.1950,0.1950,3513600
1980-05-06,0.1950,0.1974,0.1943,0.1943,6988800
1980-05-07,0.1943,0.1974,0.1943,0.1943,6393600
1980-05-08,0.1943,0.1950,0.1920,0.1920,7468800
1980-05-09,0.1943,0.1974,0.1943,0.1943,16684800
1980-05-12,0.1943,0.1966,0.1935,0.1935,8582400
1980-05-13,0.1974,0.2004,0.1974,0.1974,7372800
1980-05-14,0.2004,0.2035,0.2004,0.2004,4742400
1980-05-15,0.2020,0.2051,0.2020,0.2020,8102400
1980-05-16,0.2043,0.2074,0.2043,0.2043,4838400
1980-05-19,0.2051,0.2082,0.2051,0.2051,8640000
1980-05-20,0.2051,0.2058,0.2028,0.2028,21811200
1980-05-21,0.2012,0.2012,0.1981,0.1981,10540800
1980-05-22,0.1981,0.1989,0.1958,0.1958,5318400
1980-05-23,0.2028,0.2058,0.2028,0.2028,29779200
1980-05-27,0.2028,0.2051,0.2020,0.2020,8332800
1980-05-28,0.2066,0.2097,0.2066,0.2066,6700800
1980-05-29,0.2066,0.2097,0.2066,0.2066,7660800
1980-05-30,0.2097,0.2128,0.2097,0.2097,5721600
1980-06-02,0.2105,0.2135,0.2105,0.2105,6355200
1980-06-03,0.2082,0.2082,0.2051,0.2051,15244800
